iter	Passed	Remaining
0	90	89955
1	187	93421
2	278	92553
3	378	94324
4	467	93045
5	570	94593
6	666	94489
7	764	94851
8	862	94978
9	956	94668
10	1054	94847
11	1151	94766
12	1246	94606
13	1341	94450
14	1433	94134
15	1529	94036
16	1626	94075
17	1723	94038
18	1819	93966
19	1912	93697
20	1999	93208
21	2092	93011
22	2188	92954
23	2285	92944
24	2374	92620
25	2468	92490
26	2567	92515
27	2664	92506
28	2755	92268
29	2845	92017
30	2944	92025
31	3035	91830
32	3125	91579
33	3214	91321
34	3308	91211
35	3399	91021
36	3489	90832
37	3581	90673
38	3678	90642
39	3769	90460
40	3858	90243
41	3956	90242
42	4056	90285
43	4155	90277
44	4252	90257
45	4347	90172
46	4440	90028
47	4533	89921
48	4627	89806
49	4721	89701
50	4814	89586
51	4903	89386
52	4995	89262
53	5093	89226
54	5182	89048
55	5272	88876
56	5361	88699
57	5450	88524
58	5538	88327
59	5637	88319
60	5727	88166
61	5824	88115
62	5917	88011
63	6011	87917
64	6100	87750
65	6195	87678
66	6292	87626
67	6389	87567
68	6478	87419
69	6572	87322
70	6687	87498
71	6784	87447
72	6882	87393
73	6982	87375
74	7086	87394
75	7177	87268
76	7272	87171
77	7372	87147
78	7470	87098
79	7562	86964
80	7658	86890
81	7757	86849
82	7867	86921
83	7972	86938
84	8070	86878
85	8169	86822
86	8261	86700
87	8363	86674
88	8464	86639
89	8555	86501
90	8646	86367
91	8737	86237
92	8832	86139
93	8946	86228
94	9065	86361
95	9180	86446
96	9283	86419
97	9379	86330
98	9474	86224
99	9569	86125
100	9679	86157
101	9790	86195
102	9885	86088
103	9996	86124
104	10092	86023
105	10195	85991
106	10314	86084
107	10426	86111
108	10518	85981
109	10617	85902
110	10716	85825
111	10813	85733
112	10912	85658
113	11010	85575
114	11111	85511
115	11203	85378
116	11298	85272
117	11395	85175
118	11500	85138
119	11606	85113
120	11707	85051
121	11804	84953
122	11915	84955
123	12032	85000
124	12142	84994
125	12240	84907
126	12336	84800
127	12437	84730
128	12536	84645
129	12634	84556
130	12756	84622
131	12851	84509
132	12945	84386
133	13041	84282
134	13154	84287
135	13262	84258
136	13365	84191
137	13468	84127
138	13570	84059
139	13675	84006
140	13772	83907
141	13866	83782
142	13959	83661
143	14056	83555
144	14156	83472
145	14254	83378
146	14353	83287
147	14465	83273
148	14564	83182
149	14675	83160
150	14798	83204
151	14903	83145
152	15007	83081
153	15098	82943
154	15201	82873
155	15291	82730
156	15389	82630
157	15483	82515
158	15582	82418
159	15673	82286
160	15762	82139
161	15855	82019
162	15945	81880
163	16036	81748
164	16137	81667
165	16229	81538
166	16325	81432
167	16421	81324
168	16513	81197
169	16598	81038
170	16690	80913
171	16779	80774
172	16876	80675
173	16972	80570
174	17065	80451
175	17165	80365
176	17265	80278
177	17355	80147
178	17449	80035
179	17543	79920
180	17638	79809
181	17724	79663
182	17818	79549
183	17902	79391
184	17990	79253
185	18078	79118
186	18172	79008
187	18258	78860
188	18346	78723
189	18434	78589
190	18522	78453
191	18608	78309
192	18700	78192
193	18783	78037
194	18877	77930
195	18970	77816
196	19056	77678
197	19147	77557
198	19239	77442
199	19326	77305
200	19418	77188
201	19509	77070
202	19594	76929
203	19686	76814
204	19771	76673
205	19862	76555
206	19952	76436
207	20044	76321
208	20135	76204
209	20222	76074
210	20306	75934
211	20397	75817
212	20487	75697
213	20576	75574
214	20664	75448
215	20755	75335
216	20842	75205
217	20938	75110
